Year,Month,Scheme_Name,No_of_Schemes,No_of_Folios,Funds_Mobilized,Redemption,Net_Inflow,AUM,AAUM
2023,August,Sub Total - III (i+ii+iii+iv+v+vi),140.0,12198760.0,30858.98506619,13777.30104245,17081.68402374,561222.3029667101,571127.2317903499
2023,August,Retirement Fund,26.0,2791050.0,313.87804441,189.48505573,124.39298868,21266.34696934,21011.58941662
2023,August,Childrens Fund,10.0,2940947.0,130.6465875,64.13594769,66.51063981,16525.247245,16388.6915444
2023,August,Sub Total - IV (i+ii),36.0,5731997.0,444.52463191,253.62100342,190.90362849,37791.59421434,37400.280961020006
2023,August,Index Funds,189.0,5113123.0,3753.18523221,1767.5092292,1985.67600301,180749.62819465,179561.68029679
2023,August,GOLD ETF,13.0,4795268.0,1050.283401,22.227498,1028.055903,24318.0938598,23701.9927506
2023,August,Other ETFs,169.0,12334415.0,10229.6340351,8336.7579206,1892.87611450001,546424.21038311,547863.92397452
2023,August,Fund of funds investing overseas,50.0,1382783.0,268.40770065,639.83403672,-371.42633607,23548.64666264,23344.74389846
2023,August,Sub Total - V (i+ii+iii+iv),421.0,23625589.0,15301.510368959998,10766.328684519998,4535.18168444001,775040.5791002,774472.3409203698
2023,August,Total A-Open ended Schemes,1316.0,153609751.0,960173.47863217,943992.9498999298,16180.528732239953,4633579.624802051,4662354.443405059
2023,August,Fixed Term Plan,87.0,112076.0,188.0076112,1703.8313756,-1515.8237644,18018.45759676,19418.58792401
2023,August,Capital Protection Oriented Schemes,0.0,0.0,0.0,43.2535,-43.2535,0.0,8.3667
2023,August,Infrastructure Debt Fund,7.0,52.0,0.0,0.0,0.0,2207.5779526,2201.1015936
2023,August,Other Debt Scheme,1.0,224580.0,115.18,301.04,-185.86,5290.15,5281.32
2023,August,Sub Total (i+ii+iii+iv),95.0,336708.0,303.1876112,2048.1248756,-1744.9372644,25516.18554936,26909.37621761
2023,August,ELSS,19.0,288784.0,0.0,27.88520792,-27.88520792,3776.63194566,3766.13597083
2023,August,Other Equity Schemes,3.0,3635.0,0.0,84.0700000000002,-84.0700000000002,316.39,350.17
2023,August,Sub Total (i+ii),22.0,292419.0,0.0,111.9552079200002,-111.9552079200002,4093.02194566,4116.30597083
2023,August,Total B -Close ended Schemes,117.0,629127.0,303.1876112,2160.08008352,-1856.8924723200005,29609.20749502,31025.68218844
2023,August,Total C Interval Schemes,12.0,2699.0,95.9605,33.6679,62.2926,291.352,267.7907
2023,August,Grand Total,1445.0,154241577.0,960572.62674337,946186.6978834498,14385.928859919954,4663480.184297071,4693647.916293499
2024,August,Overnight Fund,35.0,863086.0,446890.09776324,431784.16317668,15105.9345865599,86100.25905148,96490.48627037
2024,August,Liquid Fund,36.0,1790910.0,386495.42452411,372900.55741386,13594.8671102501,510165.37030246,535431.24005615
2024,August,Ultra Short Duration Fund,25.0,640477.0,20583.29194145,19887.66977374,695.622167710011,105811.89941525,105094.16366511
2024,August,Low Duration Fund,20.0,839083.0,10727.35257388,11117.74210807,-390.389534189999,105234.56287223,104448.93808494
2024,August,Money Market Fund,23.0,431512.0,54955.55718128,44862.29462179,10093.26255949,245845.90844679,239221.66877377
2024,August,Short Duration Fund,23.0,439164.0,6916.11513317,2556.619355,4359.49577817,110740.04131607,108433.73769116
2024,August,Medium Duration Fund,15.0,215558.0,684.90405497,627.89494965,57.0091053199997,25081.64403498,24790.45406027
2024,August,Medium to Long Duration Fund,12.0,98521.0,260.20508752,156.0188846,104.18620292,11253.66260189,11181.81207402
2024,August,Long Duration Fund,9.0,72740.0,1097.67401734,115.75886187,981.91515547,16494.03024336,15918.51204668
2024,August,Dynamic Bond Fund,22.0,217669.0,1301.94114431,724.75512478,577.18601953,33964.49361343,33345.88728988
2024,August,Corporate Bond Fund,21.0,536081.0,5152.75697147,4485.3470517,667.409919769994,156081.35399296,154944.25281674
